DO NOT MODIFY! Scanner has some issues which are yet to be fixed. Changes will be overwritten.

name;games;email;url
Lab Zero Games;Indivisible; ;https://store.steampowered.com/search/?developer=Lab%20Zero%20Games&snr=1_5_9__2000
MisfitsAttic;Duskers,A Virus Named TOM; ;https://store.steampowered.com/developer/MisfitsAttic?snr=1_5_9__2000
skookumarts;The Pedestrian; ;https://store.steampowered.com/developer/skookumarts?snr=1_5_9__2000
Playdead;LIMBO; ;https://store.steampowered.com/developer/Playdead?snr=1_5_9__2000
mane6dev;Them's Fightin' Herds; ;https://store.steampowered.com/developer/mane6dev?snr=1_5_9__2000
wolfire;Overgrowth,Receiver 2,Lugaru HD,Receiver; ;https://store.steampowered.com/developer/wolfire?snr=1_5_9__2000
Triband;WHAT THE GOLF?,Keyboard Sports - Saving QWERTY,; ;https://store.steampowered.com/developer/Triband?snr=1_5_9__2000
Voidpoint, LLC;Ion Fury; ;https://store.steampowered.com/search/?developer=Voidpoint%2C%20LLC&snr=1_5_9__2000
Noio;Kingdom: New Lands,Kingdom: Classic,; ;https://store.steampowered.com/search/?developer=Noio&snr=1_5_9__2000
Haemimont Games;Tropico 5,Victor Vran ARPG; ;https://store.steampowered.com/search/?developer=Haemimont%20Games&snr=1_5_9__2000
Vlambeer;Nuclear Throne,LUFTRAUSERS,Super Crate Box,GUN GODZ,,ULTRABUGS; ;https://store.steampowered.com/developer/Vlambeer?snr=1_5_9__2000
InkStainsGames;Stoneshard,12 is Better Than 6,Stoneshard: Prologue; ;https://store.steampowered.com/developer/InkStainsGames?snr=1_5_9__2000
HuniePot;HunieCam Studio; ;https://store.steampowered.com/search/?developer=HuniePot&snr=1_5_9__2000
Alexander Bruce;Antichamber; ;https://store.steampowered.com/search/?developer=Alexander%20Bruce&snr=1_5_9__2000
Cryptic Sea;Sub Rosa,Golf for Workgroups; ;https://store.steampowered.com/search/?developer=Cryptic%20Sea&snr=1_5_9__2000
Pingfang Games;风信楼; ;https://store.steampowered.com/search/?developer=Pingfang%20Games&snr=1_5_9__2000
soedesco;Monster Crown; ;https://store.steampowered.com/developer/soedesco?snr=1_5_9__2000
TFA;Hacknet; ;https://store.steampowered.com/developer/TFA?snr=1_5_9__2000
AlienPixel;Unbound: Worlds Apart,Polandball: Can into Space!; ;https://store.steampowered.com/developer/AlienPixel?snr=1_5_9__2000
Thylacine Studios;Siralim Ultimate; ;https://store.steampowered.com/search/?developer=Thylacine%20Studios&snr=1_5_9__2000
Ominux Games;Starmancer; ;https://store.steampowered.com/search/?developer=Ominux%20Games&snr=1_5_9__2000
Wooden Monkeys;Song of Farca; ;https://store.steampowered.com/search/?developer=Wooden%20Monkeys&snr=1_5_9__2000
osmoticstudios;Orwell: Keeping an Eye On You,Orwell: Ignorance is Strength; ;https://store.steampowered.com/developer/osmoticstudios?snr=1_5_9__2000
https://store.steampowered.com/curator/36299739;Among the Sleep - Enhanced Edition,Mosaic,The Plan,; ;https://store.steampowered.com/curator/36299739?snr=1_5_9__2000
flatchestdev;Chasing Tails ~A Promise in the Snow~; ;https://store.steampowered.com/developer/flatchestdev?snr=1_5_9__2000
GrisGris;Corpse Party; ;https://store.steampowered.com/search/?developer=GrisGris&snr=1_5_9__2000
Bossa;Surgeon Simulator; ;https://store.steampowered.com/developer/Bossa?snr=1_5_9__2000
airship;Battle Chasers: Nightwar; ;https://store.steampowered.com/developer/airship?snr=1_5_9__2000
Zenovia Interactive;Steel Assault; ;https://store.steampowered.com/search/?developer=Zenovia%20Interactive&snr=1_5_9__2000
Elder Game, LLC;Project: Gorgon; ;https://store.steampowered.com/search/?developer=Elder%20Game%2C%20LLC&snr=1_5_9__2000
daedalic;Ken Follett's The Pillars of the Earth,Silence,Chaos on Deponia,Deponia: The Complete Journey,Edna & Harvey: The Breakout - Anniversary Edition,Deponia Doomsday,Deponia,State of Mind,Anna's Quest,Goodbye Deponia,Edna & Harvey: Harvey's New Eyes,The Whispered World Special Edition,Fire: Ungh’s Quest,Journey of a Roach; ;https://store.steampowered.com/developer/daedalic?snr=1_5_9__2000
Screeps, LLC;Screeps: World,Screeps: Arena; ;https://store.steampowered.com/search/?developer=Screeps%2C%20LLC&snr=1_5_9__2000
ColdwildGames;Luna's Fishing Garden,Merchant of the Skies,Lazy Galaxy 2,Lazy Galaxy,Lazy Galaxy: Rebel Story,Frequent Flyer; ;https://store.steampowered.com/developer/ColdwildGames?snr=1_5_9__2000
illufinch;Luna's Fishing Garden; ;https://store.steampowered.com/search/?developer=illufinch&snr=1_5_9__2000
strayfawn;Niche - a genetics survival game,Nimbatus - The Space Drone Constructor,Nimbatus - Drone Creator; ;https://store.steampowered.com/developer/strayfawn?snr=1_5_9__2000
SixtyGigGames;Rise to Ruins; ;https://store.steampowered.com/developer/SixtyGigGames?snr=1_5_9__2000
bluebottlegames;NEO Scavenger; ;https://store.steampowered.com/developer/bluebottlegames?snr=1_5_9__2000
stellarjockeys;Brigador: Up-Armored Edition; ;https://store.steampowered.com/developer/stellarjockeys?snr=1_5_9__2000
Number None;Braid; ;https://store.steampowered.com/search/?developer=Number%20None&snr=1_5_9__2000
Basically Games;Baldi's Basics Plus; ;https://store.steampowered.com/search/?developer=Basically%20Games&snr=1_5_9__2000
Rémi Forcadell;Pikuniku; ;https://store.steampowered.com/search/?developer=R%C3%A9mi%20Forcadell&snr=1_5_9__2000
Alan Zucconi;Pikuniku; ;https://store.steampowered.com/search/?developer=Alan%20Zucconi&snr=1_5_9__2000
Calum Bowen;Pikuniku; ;https://store.steampowered.com/search/?developer=Calum%20Bowen&snr=1_5_9__2000
AlawarPremium;Do Not Feed the Monkeys,Beholder,Beholder 2,Space Robinson: Hardcore Roguelike Action; ;https://store.steampowered.com/developer/AlawarPremium?snr=1_5_9__2000
BadLand Games Publishing S.L.;Do Not Feed the Monkeys; ;https://store.steampowered.com/search/?developer=BadLand%20Games%20Publishing%20S.L.&snr=1_5_9__2000
twicecircled;Megaquarium,Big Pharma; ;https://store.steampowered.com/developer/twicecircled?snr=1_5_9__2000
David Kaleta;Urtuk: The Desolation; ;https://store.steampowered.com/search/?developer=David%20Kaleta&snr=1_5_9__2000
hovgaard;Startup Company; ;https://store.steampowered.com/developer/hovgaard?snr=1_5_9__2000
TomorrowCorporation;Little Inferno,Human Resource Machine,7 Billion Humans; ;https://store.steampowered.com/developer/TomorrowCorporation?snr=1_5_9__2000
https://store.steampowered.com/curator/40475861;Scarlet Hollow,Scarlet Hollow — Episode 1; ;https://store.steampowered.com/curator/40475861?snr=1_5_9__2000
younghorses;Octodad: Dadliest Catch; ;https://store.steampowered.com/developer/younghorses?snr=1_5_9__2000
beholdstudios;Out of Space,Knights of Pen and Paper +1 Edition,Chroma Squad,Galaxy of Pen & Paper +1; ;https://store.steampowered.com/developer/beholdstudios?snr=1_5_9__2000
Coredumping;Software Inc.; ;https://store.steampowered.com/search/?developer=Coredumping&snr=1_5_9__2000
https://store.steampowered.com/curator/33974989;Signal Simulator; ;https://store.steampowered.com/curator/33974989?snr=1_5_9__2000
Jannik Nickel;Ancient Warfare 3; ;https://store.steampowered.com/search/?developer=Jannik%20Nickel&snr=1_5_9__2000
SilkenSail;Henchman Story; ;https://store.steampowered.com/developer/SilkenSail?snr=1_5_9__2000
Image &ampsemicolon Form Games;SteamWorld Quest: Hand of Gilgamech,SteamWorld Heist,SteamWorld Dig 2,SteamWorld Dig; ;https://store.steampowered.com/search/?developer=Image%20%26amp%3B%20Form%20Games&snr=1_5_9__2000
Dylan Fitterer;Audiosurf 2; ;https://store.steampowered.com/search/?developer=Dylan%20Fitterer&snr=1_5_9__2000
adriaan;Hidden Folks; ;https://store.steampowered.com/developer/adriaan?snr=1_5_9__2000
Sylvain Tegroeg;Hidden Folks; ;https://store.steampowered.com/search/?developer=Sylvain%20Tegroeg&snr=1_5_9__2000
Scumhead;Vomitoreum,Lycanthorn II - Rain of Beasts; ;https://store.steampowered.com/search/?developer=Scumhead&snr=1_5_9__2000
soldak;Drox Operative 2,Din's Legacy,Drox Operative,Din's Curse,Zombasite,Depths of Peril; ;https://store.steampowered.com/developer/soldak?snr=1_5_9__2000
killhousegames;Door Kickers; ;https://store.steampowered.com/developer/killhousegames?snr=1_5_9__2000
07thExpansion;Umineko When They Cry - Question Arcs,Umineko When They Cry - Answer Arcs,Higurashi When They Cry Hou - Ch.2 Watanagashi,Higurashi When They Cry Hou - Ch.7 Minagoroshi,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,Higurashi When They Cry Hou - Ch. 5 Meakashi,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,Higurashi When They Cry Hou - Ch.4 Himatsubushi,Higurashi When They Cry Hou - Ch.8 Matsuribayashi,Higurashi When They Cry Hou - Ch.1 Onikakushi; ;https://store.steampowered.com/developer/07thExpansion?snr=1_5_9__2000
TeaForTwo;Snowtopia: Ski Resort Builder; ;https://store.steampowered.com/search/?developer=TeaForTwo&snr=1_5_9__2000
freejam;Robocraft; ;https://store.steampowered.com/developer/freejam?snr=1_5_9__2000
TwoWizards;Idle Wizard; ;https://store.steampowered.com/search/?developer=TwoWizards&snr=1_5_9__2000
The Chinese Room;Amnesia: A Machine for Pigs; ;https://store.steampowered.com/search/?developer=The%20Chinese%20Room&snr=1_5_9__2000
codebyfire;The Colonists; ;https://store.steampowered.com/developer/codebyfire?snr=1_5_9__2000
Bombservice;Momodora: Reverie Under The Moonlight; ;https://store.steampowered.com/search/?developer=Bombservice&snr=1_5_9__2000
refract;Distance; ;https://store.steampowered.com/developer/refract?snr=1_5_9__2000
Joakim Sandberg;Iconoclasts; ;https://store.steampowered.com/search/?developer=Joakim%20Sandberg&snr=1_5_9__2000
cellardoorgames;Full Metal Furies,Rogue Legacy; ;https://store.steampowered.com/developer/cellardoorgames?snr=1_5_9__2000
cfg;Hard West; ;https://store.steampowered.com/developer/cfg?snr=1_5_9__2000
Michael Long;Radio General,MMM: Murder Most Misfortunate,Lazer Cops,Kaiju Wars; ;https://store.steampowered.com/search/?developer=Michael%20Long&snr=1_5_9__2000
Foolish Mortals Games;Radio General,Kaiju Wars; ;https://store.steampowered.com/search/?developer=Foolish%20Mortals%20Games&snr=1_5_9__2000
Blackflag Games;Rising Constellation; ;https://store.steampowered.com/search/?developer=Blackflag%20Games&snr=1_5_9__2000
Ankama;WAKFU; ;https://store.steampowered.com/developer/Ankama?snr=1_5_9__2000
Sparpweed;ibb & obb; ;https://store.steampowered.com/search/?developer=Sparpweed&snr=1_5_9__2000
Codeglue;ibb & obb; ;https://store.steampowered.com/search/?developer=Codeglue&snr=1_5_9__2000
fancyfishgames;Aground,I Can't Escape: Darkness,＜/reality＞,Stardander Revenant,ADventure Lib,Deity Quest,Stardander School for Witches,,Aground Zero; ;https://store.steampowered.com/developer/fancyfishgames?snr=1_5_9__2000
whitethorndigital;Aground,StarCrossed,We should talk.,BOMBFEST,APICO,Onsen Master; ;https://store.steampowered.com/developer/whitethorndigital?snr=1_5_9__2000
David Moralejo Sánchez;Himno - The Silent Melody,Himno; ;https://store.steampowered.com/search/?developer=David%20Moralejo%20S%C3%A1nchez&snr=1_5_9__2000
Team D-13;Monolith; ;https://store.steampowered.com/search/?developer=Team%20D-13&snr=1_5_9__2000
Martian Rex;Stone Story RPG; ;https://store.steampowered.com/search/?developer=Martian%20Rex&snr=1_5_9__2000
standardcombo;Stone Story RPG; ;https://store.steampowered.com/search/?developer=standardcombo&snr=1_5_9__2000
Different Tales;Werewolf: The Apocalypse — Heart of the Forest,Wanderlust: Travel Stories,Wanderlust: Transsiberian,Wanderlust: Bangkok Prelude; ;https://store.steampowered.com/search/?developer=Different%20Tales&snr=1_5_9__2000
Corey Martin;Bonfire Peaks,Pipe Push Paradise,Hiding Spot; ;https://store.steampowered.com/search/?developer=Corey%20Martin&snr=1_5_9__2000
EQ-Games , Pixel Dash Studios;Road Redemption; ;https://store.steampowered.com/search/?developer=EQ-Games%20%2C%20Pixel%20Dash%20Studios&snr=1_5_9__2000
Reikon Games;RUINER; ;https://store.steampowered.com/search/?developer=Reikon%20Games&snr=1_5_9__2000
DRAWDISTANCE;Vampire: The Masquerade - Coteries of New York,Vampire: The Masquerade - Shadows of New York,Serial Cleaner; ;https://store.steampowered.com/developer/DRAWDISTANCE?snr=1_5_9__2000
joybits;Doodle God,Doodle God Blitz,Doodle Devil,Varenje,Doodle Mafia,Doodle God: 8-bit Mania - Collector's Item,Doodle God: Genesis Secrets,Doodle Kingdom; ;https://store.steampowered.com/developer/joybits?snr=1_5_9__2000
https://store.steampowered.com/curator/33034017;Yooka-Laylee; ;https://store.steampowered.com/curator/33034017?snr=1_5_9__2000
Aquiris Game Studio;Horizon Chase Turbo,Ballistic Overkill; ;https://store.steampowered.com/search/?developer=Aquiris%20Game%20Studio&snr=1_5_9__2000
yangyangmobile;Love Esquire - RPG/Dating Sim/Visual Novel,The Letter - Horror Visual Novel; ;https://store.steampowered.com/developer/yangyangmobile?snr=1_5_9__2000
ludenio;while True: learn(),Learning Factory,InMind 2 VR,InMind VR,,InCell VR; ;https://store.steampowered.com/developer/ludenio?snr=1_5_9__2000
awesomegamesstudio;Fury Unleashed; ;https://store.steampowered.com/developer/awesomegamesstudio?snr=1_5_9__2000
Metanet Software Inc.;N++ (NPLUSPLUS); ;https://store.steampowered.com/search/?developer=Metanet%20Software%20Inc.&snr=1_5_9__2000
https://store.steampowered.com/curator/34788451;Deep Sky Derelicts; ;https://store.steampowered.com/curator/34788451?snr=1_5_9__2000
Big Kitty Games;Solace Crafting; ;https://store.steampowered.com/search/?developer=Big%20Kitty%20Games&snr=1_5_9__2000
https://store.steampowered.com/curator/35533744;HIVESWAP: ACT 2,Pesterquest,Hiveswap Friendsim,HIVESWAP: ACT 1; ;https://store.steampowered.com/curator/35533744?snr=1_5_9__2000
jiwgames;Rising World; ;https://store.steampowered.com/developer/jiwgames?snr=1_5_9__2000
Humble Grove;No Longer Home; ;https://store.steampowered.com/search/?developer=Humble%20Grove&snr=1_5_9__2000
Hana Lee;No Longer Home; ;https://store.steampowered.com/search/?developer=Hana%20Lee&snr=1_5_9__2000
Cel Davison;No Longer Home; ;https://store.steampowered.com/search/?developer=Cel%20Davison&snr=1_5_9__2000
Adrienne Lombardo;No Longer Home; ;https://store.steampowered.com/search/?developer=Adrienne%20Lombardo&snr=1_5_9__2000
Eli Rainsberry;No Longer Home; ;https://store.steampowered.com/search/?developer=Eli%20Rainsberry&snr=1_5_9__2000
Unicube;Sheltered; ;https://store.steampowered.com/search/?developer=Unicube&snr=1_5_9__2000
Weappy Studio;This Is the Police 2,This Is the Police,Rebel Cops; ;https://store.steampowered.com/search/?developer=Weappy%20Studio&snr=1_5_9__2000
Loading Home;Grey Hack,The Great Fusion; ;https://store.steampowered.com/search/?developer=Loading%20Home&snr=1_5_9__2000
LABS Works;Astalon: Tears of the Earth; ;https://store.steampowered.com/search/?developer=LABS%20Works&snr=1_5_9__2000
Unlok;Wayward; ;https://store.steampowered.com/search/?developer=Unlok&snr=1_5_9__2000
2D BOY;World of Goo; ;https://store.steampowered.com/search/?developer=2D%20BOY&snr=1_5_9__2000
Team HalfBeard;Dude, Stop,Dude, Stop,Dude, Stop,Dude, Stop; ;https://store.steampowered.com/search/?developer=Team%20HalfBeard&snr=1_5_9__2000
Stuck In Attic;Gibbous - A Cthulhu Adventure; ;https://store.steampowered.com/search/?developer=Stuck%20In%20Attic&snr=1_5_9__2000
Polarbyte Games;Rolled Out!; ;https://store.steampowered.com/search/?developer=Polarbyte%20Games&snr=1_5_9__2000
Skymap Games;Rolled Out!; ;https://store.steampowered.com/search/?developer=Skymap%20Games&snr=1_5_9__2000
sorath;Devil Daggers; ;https://store.steampowered.com/developer/sorath?snr=1_5_9__2000
manapotionstudios;Happy Room; ;https://store.steampowered.com/developer/manapotionstudios?snr=1_5_9__2000
Fabien Weibel;Haven Park; ;https://store.steampowered.com/search/?developer=Fabien%20Weibel&snr=1_5_9__2000
Corroding Games;Rusted Warfare - RTS; ;https://store.steampowered.com/search/?developer=Corroding%20Games&snr=1_5_9__2000
Cublo;Brass: Birmingham,Brass; ;https://store.steampowered.com/search/?developer=Cublo&snr=1_5_9__2000
Lunaris Games;When The Night Comes,Errant Kingdom (Chapters 0-5); ;https://store.steampowered.com/search/?developer=Lunaris%20Games&snr=1_5_9__2000
Mediatonic;Hatoful Boyfriend,Hatoful Boyfriend: Holiday Star,Foul Play; ;https://store.steampowered.com/search/?developer=Mediatonic&snr=1_5_9__2000
Hato Moa;Hatoful Boyfriend; ;https://store.steampowered.com/search/?developer=Hato%20Moa&snr=1_5_9__2000
Forgotten Key;AER Memories of Old; ;https://store.steampowered.com/search/?developer=Forgotten%20Key&snr=1_5_9__2000
ootpdevelopments;Out of the Park Baseball 21,Out of the Park Baseball 20,Out of the Park Baseball 19,Out of the Park Baseball 17,Out of the Park Baseball 18; ;https://store.steampowered.com/developer/ootpdevelopments?snr=1_5_9__2000
https://store.steampowered.com/curator/33365733;Critters for Sale,Rym 9000; ;https://store.steampowered.com/curator/33365733?snr=1_5_9__2000
Polytron Corporation;FEZ; ;https://store.steampowered.com/search/?developer=Polytron%20Corporation&snr=1_5_9__2000
Liar-soft;Kindred Spirits on the Roof; ;https://store.steampowered.com/developer/Liar-soft?snr=1_5_9__2000
neognosis;BallisticNG; ;https://store.steampowered.com/developer/neognosis?snr=1_5_9__2000
binogure;City Game Studio: a tycoon about game dev,Sneak In: a zuma game; ;https://store.steampowered.com/developer/binogure?snr=1_5_9__2000
Upper One Games;Never Alone (Kisima Ingitchuna); ;https://store.steampowered.com/search/?developer=Upper%20One%20Games&snr=1_5_9__2000
elinemedia;Never Alone (Kisima Ingitchuna); ;https://store.steampowered.com/developer/elinemedia?snr=1_5_9__2000
NoClip;Zombie Night Terror; ;https://store.steampowered.com/search/?developer=NoClip&snr=1_5_9__2000
Kyle Seeley;Emily is Away Too,Emily is Away; ;https://store.steampowered.com/search/?developer=Kyle%20Seeley&snr=1_5_9__2000
Therefore Games;DemonCrawl; ;https://store.steampowered.com/search/?developer=Therefore%20Games&snr=1_5_9__2000
LilHentaiGames;Mosaique Neko Waifus 3,Mosaique Neko Waifus 4,Mosaique Neko Waifus 2; ;https://store.steampowered.com/developer/LilHentaiGames?snr=1_5_9__2000
Thomas Biskup;ADOM (Ancient Domains Of Mystery),Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Thomas%20Biskup&snr=1_5_9__2000
Jochen Terstiege;ADOM (Ancient Domains Of Mystery),Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Jochen%20Terstiege&snr=1_5_9__2000
Zeno Rogue;ADOM (Ancient Domains Of Mystery); ;https://store.steampowered.com/search/?developer=Zeno%20Rogue&snr=1_5_9__2000
Krzysztof Dycha;ADOM (Ancient Domains Of Mystery),Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Krzysztof%20Dycha&snr=1_5_9__2000
Lucas Dieguez;ADOM (Ancient Domains Of Mystery),Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Lucas%20Dieguez&snr=1_5_9__2000
Acid Man Games;Viscerafest; ;https://store.steampowered.com/search/?developer=Acid%20Man%20Games&snr=1_5_9__2000
Fire Plant Games;Viscerafest; ;https://store.steampowered.com/search/?developer=Fire%20Plant%20Games&snr=1_5_9__2000
fullbright;Gone Home,Tacoma; ;https://store.steampowered.com/developer/fullbright?snr=1_5_9__2000
goldhawk;Xenonauts; ;https://store.steampowered.com/developer/goldhawk?snr=1_5_9__2000
SauropodStudio;Castle Story; ;https://store.steampowered.com/developer/SauropodStudio?snr=1_5_9__2000
MAD Sprouts;Wanted Raccoon; ;https://store.steampowered.com/search/?developer=MAD%20Sprouts&snr=1_5_9__2000
Lucid Games;Geometry Wars™ 3: Dimensions Evolved; ;https://store.steampowered.com/search/?developer=Lucid%20Games&snr=1_5_9__2000
Beard Envy;Filament; ;https://store.steampowered.com/search/?developer=Beard%20Envy&snr=1_5_9__2000
flyingwildhog;Shadow Warrior; ;https://store.steampowered.com/developer/flyingwildhog?snr=1_5_9__2000
draknek;A Monster's Expedition,Cosmic Express,A Good Snowman Is Hard To Build; ;https://store.steampowered.com/developer/draknek?snr=1_5_9__2000
Marco Amadei;Easy Red 2,Easy Red,A Front Too Far: Normandy,Wrecked,It's Raining Fists and Metal; ;https://store.steampowered.com/search/?developer=Marco%20Amadei&snr=1_5_9__2000
Nepos Games;Nebuchadnezzar; ;https://store.steampowered.com/search/?developer=Nepos%20Games&snr=1_5_9__2000
Pinokl;Party Hard; ;https://store.steampowered.com/developer/Pinokl?snr=1_5_9__2000
https://store.steampowered.com/curator/33559139;Royal Alchemist,Witches x Warlocks; ;https://store.steampowered.com/curator/33559139?snr=1_5_9__2000
Dim Bulb Games;Where the Water Tastes Like Wine,Where The Water Tastes Like Wine: Fireside Chats; ;https://store.steampowered.com/search/?developer=Dim%20Bulb%20Games&snr=1_5_9__2000
Serenity Forge;Where the Water Tastes Like Wine,Where The Water Tastes Like Wine: Fireside Chats; ;https://store.steampowered.com/search/?developer=Serenity%20Forge&snr=1_5_9__2000
junkfish;Monstrum,Attack of the Earthlings; ;https://store.steampowered.com/developer/junkfish?snr=1_5_9__2000
fishingcactus;Nanotale - Typing Chronicles,Epistory - Typing Chronicles,Algo Bot; ;https://store.steampowered.com/developer/fishingcactus?snr=1_5_9__2000
Zadbox Entertainment;Quern - Undying Thoughts; ;https://store.steampowered.com/search/?developer=Zadbox%20Entertainment&snr=1_5_9__2000
WingedCloud;Sakura Dungeon,Sakura Succubus,Sakura Succubus 4,Sakura Succubus 3,Sakura Succubus 2,Sakura Cupid,Sakura Beach,Sakura Nova,Sakura Forest Girls,Sakura Swim Club,Sakura Angels,Sakura MMO,Sakura Spirit,Sakura Fantasy,Sakura Sadist,Sakura MMO 2,Sakura Gamer,Sakura Gamer 2,Sakura MMO 3,Sakura MMO Extra,Sakura Fox Adventure,Sakura Santa,Sakura Knight 3,Sakura Shrine Girls,Sakura Beach 2,Sakura Space,Pyrite Heart,Legends of Talia: Arcadia,Sakura Forest Girls 2; ;https://store.steampowered.com/developer/WingedCloud?snr=1_5_9__2000
ExDevs LTD;Battle Tanks: Legends of World War II; ;https://store.steampowered.com/search/?developer=ExDevs%20LTD&snr=1_5_9__2000
knucklecracker;Creeper World 3: Arc Eternal,Particle Fleet: Emergence; ;https://store.steampowered.com/developer/knucklecracker?snr=1_5_9__2000
detachentertainment;Scribble It!; ;https://store.steampowered.com/developer/detachentertainment?snr=1_5_9__2000
Real Welders;Sky Haven; ;https://store.steampowered.com/search/?developer=Real%20Welders&snr=1_5_9__2000
GalaxyTrail;Freedom Planet; ;https://store.steampowered.com/developer/GalaxyTrail?snr=1_5_9__2000
https://store.steampowered.com/curator/37736972;Thimbleweed Park™,Delores: A Thimbleweed Park Mini-Adventure; ;https://store.steampowered.com/curator/37736972?snr=1_5_9__2000
Humble Hearts LLC;Dust: An Elysian Tail; ;https://store.steampowered.com/search/?developer=Humble%20Hearts%20LLC&snr=1_5_9__2000
hanakogames;Long Live The Queen,Cute Bite,Magical Diary: Wolf Hall,Black Closet,A Little Lily Princess,Magical Diary: Horse Hall,The Confines Of The Crown,Date Warp,England Exchange,Science Girls,Sword Daughter,Night Cascades,; ;https://store.steampowered.com/developer/hanakogames?snr=1_5_9__2000
https://store.steampowered.com/curator/41399979;Mad Experiments: Escape Room,Run Prop, Run!; ;https://store.steampowered.com/curator/41399979?snr=1_5_9__2000
MyACG Studio;Touhou Monster TD ~ 幻想乡妖怪塔防; ;https://store.steampowered.com/search/?developer=MyACG%20Studio&snr=1_5_9__2000
CharlieOscar;Gremlins, Inc.,Gremlins, Inc.,Gremlins, Inc.,Gremlins, Inc.; ;https://store.steampowered.com/developer/CharlieOscar?snr=1_5_9__2000
redcandlegames;Detention; ;https://store.steampowered.com/developer/redcandlegames?snr=1_5_9__2000
Foam Sword;Knights And Bikes; ;https://store.steampowered.com/search/?developer=Foam%20Sword&snr=1_5_9__2000
ondydev;Tres-Bashers; ;https://store.steampowered.com/search/?developer=ondydev&snr=1_5_9__2000
Unexpected;As Far As The Eye; ;https://store.steampowered.com/search/?developer=Unexpected&snr=1_5_9__2000
Everglow Interactive Inc.;Party Panic; ;https://store.steampowered.com/search/?developer=Everglow%20Interactive%20Inc.&snr=1_5_9__2000
Tasharen Entertainment Inc.;Windward,Project 5: Sightseer; ;https://store.steampowered.com/search/?developer=Tasharen%20Entertainment%20Inc.&snr=1_5_9__2000
crema;Immortal Redneck; ;https://store.steampowered.com/developer/crema?snr=1_5_9__2000
jandusoft;Sword of the Necromancer,Caveman Warriors,Super Hyperactive Ninja; ;https://store.steampowered.com/developer/jandusoft?snr=1_5_9__2000
deconstructeam;The Red Strings Club,Gods Will Be Watching; ;https://store.steampowered.com/developer/deconstructeam?snr=1_5_9__2000
EA;Overlord™: Raising Hell,Overlord™; ;https://store.steampowered.com/developer/EA?snr=1_5_9__2000
Explosm;Cyanide & Happiness - Freakpocalypse (Episode 1); ;https://store.steampowered.com/search/?developer=Explosm&snr=1_5_9__2000
Skeleton Crew Studios;Cyanide & Happiness - Freakpocalypse (Episode 1),Grave Chase; ;https://store.steampowered.com/search/?developer=Skeleton%20Crew%20Studios&snr=1_5_9__2000
polyslash;We. The Revolution; ;https://store.steampowered.com/developer/polyslash?snr=1_5_9__2000
Unknown Origin Games Inc;Odd Realm; ;https://store.steampowered.com/search/?developer=Unknown%20Origin%20Games%20Inc&snr=1_5_9__2000
Die Gute Fabrik;Mutazione,Sportsfriends; ;https://store.steampowered.com/search/?developer=Die%20Gute%20Fabrik&snr=1_5_9__2000
oddworldinc;Oddworld: New 'n' Tasty; ;https://store.steampowered.com/developer/oddworldinc?snr=1_5_9__2000
DigiFX Interactive;Harvester; ;https://store.steampowered.com/search/?developer=DigiFX%20Interactive&snr=1_5_9__2000
Delve Interactive;CHANGE: A Homeless Survival Experience; ;https://store.steampowered.com/search/?developer=Delve%20Interactive&snr=1_5_9__2000
Chad Cuddigan;Delver; ;https://store.steampowered.com/search/?developer=Chad%20Cuddigan&snr=1_5_9__2000
Joshua Skelton;Delver; ;https://store.steampowered.com/search/?developer=Joshua%20Skelton&snr=1_5_9__2000
increpare games;Stephen's Sausage Roll,English Country Tune; ;https://store.steampowered.com/search/?developer=increpare%20games&snr=1_5_9__2000
Stegosoft Games;Ara Fell: Enhanced Edition,Rise of the Third Power; ;https://store.steampowered.com/search/?developer=Stegosoft%20Games&snr=1_5_9__2000
SeriousSim;Radio Commander; ;https://store.steampowered.com/developer/SeriousSim?snr=1_5_9__2000
Digital Melody;Timberman,Surfingers,Fly O'Clock,Risky Rescue,Masky; ;https://store.steampowered.com/search/?developer=Digital%20Melody&snr=1_5_9__2000
Bastian von Gostomski;Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Bastian%20von%20Gostomski&snr=1_5_9__2000
Carola Sochiera;Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Carola%20Sochiera&snr=1_5_9__2000
Björn Loesing;Ultimate ADOM - Caverns of Chaos; ;https://store.steampowered.com/search/?developer=Bj%C3%B6rn%20Loesing&snr=1_5_9__2000
https://store.steampowered.com/curator/40917601;The Final Station; ;https://store.steampowered.com/curator/40917601?snr=1_5_9__2000
kodera;ΔV: Rings of Saturn; ;https://store.steampowered.com/developer/kodera?snr=1_5_9__2000
David OReilly;Everything,Mountain; ;https://store.steampowered.com/search/?developer=David%20OReilly&snr=1_5_9__2000
FlippFly;Absolute Drift; ;https://store.steampowered.com/search/?developer=FlippFly&snr=1_5_9__2000
