DO NOT MODIFY! Scanner has some issues which are yet to be fixed. Changes will be overwritten.

name;games;email;url
pinestudio;Escape Simulator,SEUM: Speedrunners from Hell,Faraway: Puzzle Escape; ;https://store.steampowered.com/developer/pinestudio?snr=1_5_9__2000
redhookstudios;Darkest Dungeon®; ;https://store.steampowered.com/developer/redhookstudios?snr=1_5_9__2000
klei;Don't Starve Together,Oxygen Not Included,Don't Starve,Griftlands,Mark of the Ninja: Remastered,Invisible, Inc.,Shank,Shank 2,Invisible, Inc.,Invisible, Inc.,Eets Munchies,Invisible, Inc.,Mark of the Ninja; ;https://store.steampowered.com/developer/klei?snr=1_5_9__2000
Berserk Games;Tabletop Simulator; ;https://store.steampowered.com/search/?developer=Berserk%20Games&snr=1_5_9__2000
1047 Games;Splitgate; ;https://store.steampowered.com/search/?developer=1047%20Games&snr=1_5_9__2000
Worldwalker Games LLC;Wildermyth; ;https://store.steampowered.com/search/?developer=Worldwalker%20Games%20LLC&snr=1_5_9__2000
https://store.steampowered.com/curator/32946824;Graveyard Keeper,Punch Club; ;https://store.steampowered.com/curator/32946824?snr=1_5_9__2000
teamcherry;Hollow Knight; ;https://store.steampowered.com/developer/teamcherry?snr=1_5_9__2000
Gearbox Software;Borderlands 2,Borderlands: The Pre-Sequel,Half-Life: Opposing Force,Half-Life: Blue Shift; ;https://store.steampowered.com/search/?developer=Gearbox%20Software&snr=1_5_9__2000
The Indie Stone;Project Zomboid; ;https://store.steampowered.com/search/?developer=The%20Indie%20Stone&snr=1_5_9__2000
FreebirdGames;Impostor Factory,To the Moon,Finding Paradise,A Bird Story; ;https://store.steampowered.com/developer/FreebirdGames?snr=1_5_9__2000
4agames;Metro Exodus,Metro 2033 Redux,Metro: Last Light Redux; ;https://store.steampowered.com/developer/4agames?snr=1_5_9__2000
coatsink;Gang Beasts,Kingdom Two Crowns (Play the Norse Lands Demo); ;https://store.steampowered.com/developer/coatsink?snr=1_5_9__2000
Milkstone;Ziggurat 2,Farm Together,Ziggurat,White Noise 2,White Noise Online,Little Racers STREET,Pharaonic; ;https://store.steampowered.com/developer/Milkstone?snr=1_5_9__2000
Team17;Golf With Your Friends,Overcooked! 2,The Escapists 2,Worms W.M.D,Monster Sanctuary,Worms Reloaded,Sheltered,Worms Clan Wars,The Escapists: The Walking Dead,Flockers™; ;https://store.steampowered.com/developer/Team17?snr=1_5_9__2000
megacrit;Slay the Spire; ;https://store.steampowered.com/developer/megacrit?snr=1_5_9__2000
Konfa Games;Despot's Game: Dystopian Army Builder,Despotism 3k; ;https://store.steampowered.com/search/?developer=Konfa%20Games&snr=1_5_9__2000
tobyfox;Undertale; ;https://store.steampowered.com/search/?developer=tobyfox&snr=1_5_9__2000
feralinteractive;Tomb Raider,XCOM® 2,Company of Heroes 2,Total War: SHOGUN 2,Total War: MEDIEVAL II – Definitive Edition,Total War: EMPIRE – Definitive Edition,HITMAN™,Alien: Isolation,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War III,Medieval II: Total War™ Kingdoms,A Total War Saga: FALL OF THE SAMURAI,,COH 2 - The Western Front Armies: US Forces,Company of Heroes 2 - The Western Front Armies; ;https://store.steampowered.com/developer/feralinteractive?snr=1_5_9__2000
inXile;Wasteland 3,Wasteland 2: Director's Cut,Torment: Tides of Numenera,The Bard's Tale,Wasteland 1 - The Original Classic,The Bard's Tale IV: Director's Cut; ;https://store.steampowered.com/developer/inXile?snr=1_5_9__2000
FakeFish;Barotrauma; ;https://store.steampowered.com/search/?developer=FakeFish&snr=1_5_9__2000
Undertow Games;Barotrauma; ;https://store.steampowered.com/search/?developer=Undertow%20Games&snr=1_5_9__2000
MotionTwin;Dead Cells; ;https://store.steampowered.com/developer/MotionTwin?snr=1_5_9__2000
Sandbox Interactive GmbH;Albion Online; ;https://store.steampowered.com/search/?developer=Sandbox%20Interactive%20GmbH&snr=1_5_9__2000
Ghost Town Games Ltd.;Overcooked! 2; ;https://store.steampowered.com/search/?developer=Ghost%20Town%20Games%20Ltd.&snr=1_5_9__2000
HaemimontGames;Surviving Mars; ;https://store.steampowered.com/developer/HaemimontGames?snr=1_5_9__2000
PrivateDivision;Kerbal Space Program; ;https://store.steampowered.com/developer/PrivateDivision?snr=1_5_9__2000
Eleventh Hour Games;Last Epoch; ;https://store.steampowered.com/search/?developer=Eleventh%20Hour%20Games&snr=1_5_9__2000
IronOak Games;For The King; ;https://store.steampowered.com/search/?developer=IronOak%20Games&snr=1_5_9__2000
MONOMIPARK;Slime Rancher; ;https://store.steampowered.com/developer/MONOMIPARK?snr=1_5_9__2000
https://store.steampowered.com/curator/34004349;Pathfinder: Kingmaker - Enhanced Plus Edition; ;https://store.steampowered.com/curator/34004349?snr=1_5_9__2000
jackboxgames;The Jackbox Party Pack 7,The Jackbox Party Pack 3,The Jackbox Party Pack 6,The Jackbox Party Pack 4,The Jackbox Party Pack 5,The Jackbox Party Pack,The Jackbox Party Pack 2,Drawful 2,Quiplash,Fibbage XL,Quiplash 2 InterLASHional; ;https://store.steampowered.com/developer/jackboxgames?snr=1_5_9__2000
Beam Team Games;Stranded Deep; ;https://store.steampowered.com/search/?developer=Beam%20Team%20Games&snr=1_5_9__2000
shirogames;Northgard,Evoland Legendary Edition; ;https://store.steampowered.com/developer/shirogames?snr=1_5_9__2000
